Player,Batting Strike Rate,Batsmen Total Runs,Batting Average,No of Sixes,No of Fours,Balls Faced,Total career dot balls played,No of Centuries Scored,No of Half Centuries Scored,Age of the Player,Last Auction Price Sold (in Crs),Category,Country,Role,Capped or Uncapped
Player_151,159.71,4762,30.38,233,403,1852,943,6,15,27,6.77,International,India,Batsman,Capped
Player_152,147.59,7382,31.17,275,654,4452,1752,5,34,28,22.28,International,India,Batsman,Capped
Player_153,152.45,2846,24.57,228,291,1565,801,2,14,30,4.29,International,South Africa,Batsman,Capped
Player_154,144.37,2454,39.15,91,209,1343,474,1,9,33,11.25,International,Australia,Batsman,Capped
Player_155,138.38,4496,28.16,172,272,2467,960,1,27,39,8.3,International,India,Batsman,Capped
Player_156,164.33,4073,31.09,106,426,2751,543,4,20,26,3.02,International,England,Batsman,Capped
Player_157,127.98,1085,28.96,32,85,419,221,2,3,31,0,International,Ireland,Batsman,Capped
Player_158,158.18,695,25.53,46,55,681,204,1,6,23,1.75,International,Bangladesh,Batsman,Capped
Player_159,158.48,1990,27.88,81,124,1007,398,2,6,30,17.63,Domestic,India,Batsman,Capped
Player_160,193.69,316,28.43,13,28,169,49,0,1,18,2.96,Domestic,India,Batsman,Uncapped
Player_161,136.48,791,35.13,35,79,529,194,1,3,26,0.75,International,Zimbabwe,Batsman,Capped
Player_162,147.29,971,24.22,39,98,825,266,1,4,24,0.9,International,Afghanistan,Batsman,Capped
Player_163,156.28,7828,26.47,400,930,5062,1931,6,34,35,1.83,International,England,Batsman,Capped
Player_164,150.49,7478,37.51,457,930,5262,2390,7,66,33,19.03,International,India,Batsman,Capped
Player_165,156.75,2456,29.78,104,179,1514,427,3,7,25,3.57,International,England,Batsman,Capped
Player_166,132.97,4430,27.37,99,444,3423,802,2,25,34,0.73,International,Zimbabwe,Batsman,Capped
Player_167,124.94,1883,26.94,74,263,1384,837,1,10,29,1.05,International,New Zealand,Batsman,Capped
Player_168,164.7,695,27.03,30,61,354,122,0,2,26,4.8,International,Sri Lanka,Batsman,Capped
Player_169,145.38,5245,30.28,237,407,2844,1114,4,26,33,2.14,International,England,Batsman,Capped
Player_170,153.85,1500,33.77,79,134,1273,477,3,13,22,4.24,International,South Africa,Batsman,Capped
Player_171,158.01,639,23.82,34,40,307,72,1,2,28,5,International,India,Batsman,Capped
Player_172,146.16,5144,39.83,188,585,3486,1377,3,53,38,8.65,International,India,Batsman,Capped
Player_173,159.2,3026,27.44,83,218,1323,949,3,16,26,4.93,International,India,Batsman,Capped
Player_174,124,1073,32.15,10,122,1336,335,0,7,22,0,International,Afghanistan,Batsman,Uncapped
Player_175,162.03,2323,28.51,89,266,1073,523,2,8,25,5.02,International,England,Batsman,Capped
Player_176,165.02,1749,29.25,107,206,1258,529,2,11,25,15.08,International,India,Batsman,Capped
Player_177,155.97,1604,23.63,52,134,627,248,0,13,34,6.82,International,Australia,Batsman,Capped
Player_178,154.34,1179,27.4,75,153,1277,344,2,10,28,1.05,International,Australia,Batsman,Capped
Player_179,163.23,1654,23.89,99,194,1195,415,2,9,22,1.81,International,South Africa,Batsman,Capped
Player_180,142.03,5855,26.51,267,747,4285,1271,6,30,33,0.52,International,England,Batsman,Capped
Player_181,145.86,6036,42.13,137,578,3631,2076,11,58,33,3.85,International,India,Batsman,Capped
Player_182,145.94,1445,26.61,65,103,537,270,0,8,32,1.68,International,South Africa,Batsman,Capped
Player_183,174.28,1866,28.03,56,137,941,334,0,6,26,15.13,Domestic,India,Batsman,Capped
Player_184,156.7,1676,30.05,64,119,905,428,0,6,31,17.08,International,New Zealand,Batsman,Capped
Player_185,231.55,313,32.79,36,34,130,47,1,1,22,7.08,Domestic,India,Batsman,Uncapped
Player_186,132.61,1156,26.65,13,115,807,238,0,6,28,0.3,International,Sri Lanka,Batsman,Capped
Player_187,129.98,1418,27.8,37,89,1139,401,0,5,34,0.37,International,Sri Lanka,Batsman,Capped
Player_188,137.38,431,38.15,15,53,529,162,1,2,22,0,International,Bangladesh,Batsman,Capped
Player_189,131.42,2986,27.22,83,375,2300,871,1,12,33,3.19,International,England,Batsman,Capped
Player_190,132.43,3102,34.4,76,154,1411,833,1,8,29,6.17,International,India,Batsman,Capped
Player_191,139.66,871,32.87,76,151,449,285,0,4,21,1.93,International,Zimbabwe,Batsman,Capped
Player_192,160.74,1190,34.13,77,148,989,404,1,10,30,8.23,International,Australia,Batsman,Capped
