Player,Bowling Strike Rate,Bowling Economy,Bowling Average,Wickets Taken,Runs Conceded,Sixes Conceded,Fours Conceded,Dot Balls Bowled,3 Wicket Hauls,5 Wicket hauls,Maidens Bowled,Age of the Player,Last Auction Price Sold (in Crs),Category,Country,Role,Capped/Uncapped
Player_1,6.07,9.47,25.00,29,772,20,100,332,3,0,1,26,0.47,International,Netherlands,Pace Bowler,Capped
Player_2,3.50,7.21,25.56,158,5581,175,293,1705,15,0,6,26,0.92,International,Bangladesh,Spin Bowler,Capped
Player_3,8.08,9.10,17.81,40,891,30,57,270,7,1,1,27,0.00,International,Afghanistan,Pace Bowler,Capped
Player_4,7.23,9.62,20.82,166,4736,134,383,848,16,1,2,31,0.86,International,England,Pace Bowler,Capped
Player_5,19.36,10.68,34.48,13,475,31,47,163,2,0,0,26,0.21,Domestic,India,Spin Bowler,Uncapped
Player_6,4.92,7.98,21.74,24,810,40,54,159,4,0,1,33,0.42,International,Bangladesh,Pace Bowler,Capped
Player_7,5.37,7.93,23.12,545,8134,384,643,2942,39,8,9,33,0.00,International,Afghanistan,Pace Bowler,Capped
Player_8,3.88,9.48,43.31,10,414,24,41,80,0,0,0,23,2.89,International,Sri Lanka,Spin Bowler,Capped
Player_9,7.42,8.43,21.55,159,2956,103,198,903,19,1,1,38,0.79,International,Australia,Pace Bowler,Capped
Player_10,21.42,8.07,25.10,195,4443,228,273,2006,13,0,6,30,12.47,International,India,Spin Bowler,Uncapped
Player_11,10.57,8.07,22.83,193,4181,121,485,1966,16,2,17,32,3.97,International,South Africa,Pace Bowler,Uncapped
Player_12,7.23,8.80,20.12,293,5287,279,544,1390,30,1,6,32,1.47,International,Australia,Pace Bowler,Capped
Player_13,5.86,7.85,22.36,189,3518,141,307,1452,16,0,4,28,0.00,International,England,Spin Bowler,Capped
Player_14,5.58,9.73,31.86,26,674,36,89,219,2,0,1,31,0.09,International,Netherlands,Pace Bowler,Capped
Player_15,7.54,9.59,25.06,22,665,27,60,155,4,0,1,34,0.21,International,New Zealand,Pace Bowler,Capped
Player_16,5.01,7.82,23.09,188,3961,153,319,988,22,0,1,33,0.74,International,South Africa,Spin Bowler,Capped
Player_17,10.11,9.06,24.68,87,2469,107,273,819,7,1,3,27,3.71,International,Afghanistan,Pace Bowler,Capped
Player_18,6.09,7.08,23.55,120,2305,112,242,823,8,0,4,27,0.00,International,Sri Lanka,Spin Bowler,Capped
Player_19,4.81,8.51,25.80,74,2474,105,169,592,4,0,1,35,2.04,International,Australia,Pace Bowler,Capped
Player_20,5.47,8.62,27.58,23,955,41,124,356,2,0,1,27,5.49,International,Sri Lanka,Pace Bowler,Capped
Player_21,4.98,7.61,28.71,60,1478,94,110,889,6,0,2,30,0.00,International,Netherlands,Spin Bowler,Capped
Player_22,5.81,9.67,37.43,10,515,15,31,88,0,0,1,27,0.83,International,Netherlands,Pace Bowler,Capped
Player_23,4.63,6.96,23.97,12,288,7,16,116,1,0,0,28,0.00,International,West Indies,Spin Bowler,Uncapped
Player_24,6.93,9.14,31.22,25,968,30,50,187,2,0,1,32,6.32,International,Sri Lanka,Pace Bowler,Capped
Player_25,3.78,9.00,31.03,57,994,75,88,326,1,0,1,31,1.89,International,New Zealand,Pace Bowler,Capped
Player_26,3.86,7.67,21.03,180,3106,178,269,1540,14,0,9,35,0.46,International,South Africa,Pace Bowler,Capped
Player_27,10.40,8.51,22.74,205,6556,146,283,1153,19,1,1,33,1.41,International,England,Spin Bowler,Uncapped
Player_28,5.10,8.49,21.70,60,2325,89,100,506,12,1,1,36,0.02,International,Zimbabwe,Spin Bowler,Capped
Player_29,4.86,7.94,19.93,198,4638,202,395,1579,24,0,15,34,0.45,International,South Africa,Pace Bowler,Capped
