Player,Category,Country,Role,Runs Scored,Batting Strike Rate,Batting Average,No of Sixes,No of Fours,Balls Faced,Total career dot balls played,No of Centuries Scored,No of Half Centuries Scored,Wickets Taken,3 Wicket Hauls,5 Wicket Hauls,Bowling Strike Rate,Bowling Economy,Bowling Average,Runs Conceded,Sixes Conceded,Fours Conceded,Dot Balls Bowled,Maidens Bowled,Age of the Player,Capped/Uncapped,Last Auction Price Sold (in Crs),5 Wicket hauls,No of Catches,No of Stumpings,No of Run Outs
Hardik Pandya,International,India,Fast-All Rounder,2757,147,28.34,149,207,1875,619,0,10,78,5,1,4.8,9.2,31.95,2492,114,222,582,1,32,Capped,16.35,,,,
Ravindra Jadeja,International,India,Spin-All Rounder,2356,134.3,28.1,82,175,1754,516,0,5,143,12,0,4.2,7.8,30.52,4427,198,265,1116,2,37,Capped,18,,,,
Shivam Dube,International,India,Fast-All Rounder,903,149.8,30.48,57,56,603,191,0,6,31,2,0,6.3,9.1,42.6,749,37,53,159,0,32,Capped,12,,,,
Nitish Kumar Reddy,International,India,Fast-All Rounder,485,132.9,28.52,25,31,365,124,0,2,5,0,0,3.6,11,50.8,254,17,16,39,0,22,Capped,6,,,,
Axar Patel,International,India,Spin-All Rounder,1910,134.2,22.02,94,129,1423,472,0,3,128,3,0,3.9,7.3,31.6,4052,168,259,1132,2,32,Capped,16.5,,,,
Washington Sundar,International,India,Spin-All Rounder,511,126.2,15.48,16,42,405,138,0,0,39,3,0,3.5,7.7,36.82,1436,65,97,382,1,26,Capped,3.2,,,,
R Ashwin,International,India,Spin-All Rounder,833,123.2,13.01,29,9,629,221,0,1,136,4,1,3.8,7.5,30.22,4526,189,255,1205,2,39,Capped,9.75,,,,
Shardul Thakur,International,India,Fast-All Rounder,325,139.5,11.6,13,30,233,83,0,1,107,6,0,5.2,9.4,30.31,3244,129,311,730,3,34,Uncapped,2,,,,
Krunal Pandya,Domestic,India,Spin-All Rounder,1756,132.5,22.2,65,153,1325,491,0,2,93,8,0,3.9,7.5,32.09,2985,103,206,788,1,34,Uncapped,5.75,,,,
Venkatesh Iyer ,Domestic,India,Fast-All Rounder,1468,137.3,29.95,65,136,1069,410,1,12,3,0,0,3.7,10.6,47.66,143,7,12,17,0,31,Uncapped,7,,,,
Rahul Tewatia,Domestic,India,Spin-All Rounder,1112,137.1,23.16,54,90,811,289,0,1,32,4,0,3.8,7.9,34.71,1111,61,54,270,0,32,Uncapped,4,,,,
Shahbaz Ahmed,Domestic,India,Spin-All Rounder,545,121.7,18.79,25,29,448,156,0,1,22,2,0,3.7,9.6,42.68,939,53,62,160,0,31,Uncapped,2.4,,,,
Riyan Parag,International,India,Spin-All Rounder,1570,142,26.1,87,112,1106,375,0,7,6,0,0,2.1,9.7,68.14,467,24,27,65,0,24,Capped,14,,,,
Ramandeep Singh,International,India,Fast-All Rounder,217,158.4,19.72,17,9,137,44,0,0,6,1,0,15,9.5,10.5,63,3,5,13,0,28,Capped,4,,,,
Harpreet Brar,Domestic,India,Spin-All Rounder,244,120.2,20.33,10,19,203,82,0,0,35,3,0,4.3,8,31,1085,47,73,279,1,30,Uncapped,1.5,,,,
Glenn Maxwell,International,Australia,Spin-All Rounder,2806,156.1,23.89,161,236,1798,639,0,18,40,0,0,4,8.3,34.46,1391,79,78,331,1,37,Capped,4.2,,,,
Marcus Stoinis,International,Australia,Fast-All Rounder,2020,144.8,28.14,106,157,1395,473,1,9,44,3,0,5,9.8,32.93,1449,71,117,262,0,36,Capped,11,,,,
Cameron Green,International,Australia,Fast-All Rounder,707,153.7,41.59,32,62,460,132,1,2,16,0,0,3.6,9.1,41.5,664,31,58,160,0,26,Capped,25.2,,,,
Mitchell Marsh,International,Australia,Fast-All Rounder,1215,147.3,27.51,71,101,825,309,1,9,28,2,0,6.7,8.8,21.49,608,26,47,136,1,34,Capped,3.4,,,,
Matthew Short,International,Australia,Spin-All Rounder,3141,144.8,29.01,144,250,2169,749,2,25,48,4,0,4.1,7.6,22.89,1488,40,112,393,0,30,Capped,1.5,,,,
Aaron Hardie,International,Australia,Fast-All Rounder,1651,1217,29.98,65,126,1217,402,0,7,43,2,0,5.4,8.6,26.05,1136,38,91,269,0,27,Capped,1.25,,,,
Daniel Sams,International,Australia,Fast-All Rounder,1976,150.8,26.5,132,116,1310,461,0,6,232,28,1,6.3,8.8,37.36,5377,219,483,1337,5,33,Capped,0,,,,
Will Sutherland,International,Australia,Fast-All Rounder,1039,133.7,17.86,52,57,777,246,0,4,56,5,0,4.2,9.1,17.33,2046,84,172,457,1,26,Uncapped,0,,,,
Ben Cutting,International,Australia,Fast-All Rounder,2879,144.3,21.64,180,197,1995,671,0,8,101,4,0,4.8,9.1,32.5,3161,82,196,442,1,39,Capped,0,,,,
Ashton Agar,International,Australia,Spin-All Rounder,1139,124.8,17,57,64,913,312,0,2,131,4,0,3.9,7.6,23.04,3172,136,148,773,3,32,Capped,0,,,,
Will Jacks,International,England,Spin-All Rounder,463,152.8,27.23529412,29,38,303,110,1,2,8,0,0,5.8,9.6,27.5,220,11,17,43,0,27,Capped,5.25,,,,
Sam Curran,International,England,Fast-All Rounder,997,136.6,24.925,41,85,730,250,0,6,59,6,0,4.7,9.7,34.46,2033,89,197,415,0,27,Capped,2.4,,,,
Liam Dawson,International,England,Spin-All Rounder,797,123.5,10.21794872,61,132,1455,373,0,5,160,10,0,4.7,7.4,26.25,4200,131,220,935,6,35,Capped,1.56,,,,
Jamie Overton,International,England,Fast-All Rounder,1148,153.7,20.14035088,64,77,747,235,0,0,85,9,1,5.4,9,27.66,2351,65,181,469,1,31,Capped,1.5,,,,
Tom Curran,International,England,Fast-All Rounder,1755,145.6,22.21518987,59,168,1205,341,0,4,168,21,3,6.3,8.5,22.78,3827,113,297,824,3,31,Capped,1.39,,,,
Brydon Carse,International,England,Fast-All Rounder,662,143,19.47058824,29,38,463,131,0,2,32,1,0,3.4,8.9,43.44,1390,49,127,353,1,30,Capped,1,,,,
Jordan Thompson,International,England,Fast-All Rounder,1122,157.1,20.03571429,82,58,714,218,0,5,110,9,0,6.2,9.4,25.36,2790,108,206,500,0,29,Capped,0.44,,,,
Rachin Ravindra,International,New Zealand,Spin-All Rounder,413,143.9,24.29411765,16,40,287,95,0,2,50,3,0,5.5,7.6,22.78,1139,37,89,298,2,26,Capped,2,,,,
Glenn Phillips,International,New Zealand,Spin-All Rounder,3829,141.9,37.17475728,222,274,2698,857,2,26,21,0,0,4.8,8.6,30.05,631,36,34,132,0,29,Capped,2,,,,
Daryl Mitchell,International,New Zealand,Fast-All Rounder,1783,142.1,37.14583333,67,127,1255,324,0,11,40,1,0,5.8,9.4,26.9,1076,39,91,183,0,34,Capped,2.4,,,,
James Neesham,International,New Zealand,Fast-All Rounder,2781,139.2,26.74038462,128,217,1998,604,0,12,154,11,0,5.7,9.1,26.45,4074,137,334,824,0,35,Capped,0,,,,
Michael Bracewell,International,New Zealand,Spin-All Rounder,1797,143,29.45901639,84,142,1257,425,1,11,49,1,0,5,8.7,29.24,1433,70,103,321,1,34,Capped,1.39,,,,
Cole McConchie,International,New Zealand,Spin-All Rounder,1573,126.4,23.13235294,47,130,1244,427,0,8,58,3,0,4.4,7.5,28.26,1639,54,114,398,0,34,Capped,0.198,,,,
Tom Bruce,International,New Zealand,Spin-All Rounder,2546,140.8,36.37142857,102,229,1808,527,0,18,12,2,0,4.9,8.6,29.5,354,17,21,76,0,34,Capped,0.74,,,,
Zak Chappell,International,New Zealand,Fast-All Rounder,273,132.5,27.3,11,20,206,47,0,0,88,11,1,7.1,9.4,22.07,1942,68,151,351,1,29,Capped,0,,,,
Aiden Markram,International,South Africa,Spin-All Rounder,1440,135.1,31.30434783,57,111,1066,318,0,10,6,0,0,3.2,8.8,45.67,274,15,15,48,0,31,Capped,2,,,,
Marco Jansen,International,South Africa,Fast-All Rounder,851,145.2,25.78787879,53,57,586,208,0,4,96,6,1,5.8,7.5,21.4,2054,72,189,754,4,25,Capped,7,,,,
Corbin Bosch,International,South Africa,Fast-All Rounder,859,110.4,20.45238095,20,70,778,279,0,3,83,5,0,5.5,8.2,24.64,2045,51,207,561,1,31,Capped,0.75,,,,
Jason Smith,International,South Africa,Spin-All Rounder,1198,126.4,30.71794872,48,78,948,283,0,4,13,3,0,8.7,8.2,15.77,205,8,6,39,0,31,Uncapped,0.24,,,,
Andile Phehlukwayo,International,South Africa,Fast-All Rounder,755,120.2,18.41463415,38,59,628,257,0,0,47,2,0,4.3,8.7,33.81,1589,64,120,344,2,30,Capped,0,,,,
Wiaan Mulder,International,South Africa,Fast-All Rounder,1967,133.6,27.31944444,75,148,1472,472,0,10,61,0,0,4.9,8.8,30,1830,68,151,429,1,28,Capped,0,,,,
Romario Shepherd,International,West Indies,Fast-All Rounder,1492,158.1,23.68253968,108,100,944,353,0,5,134,15,0,6,8.3,22.97,3078,125,267,882,4,31,Capped,1.5,,,,
Roston Chase,International,West Indies,Spin-All Rounder,1751,124.9,28.24193548,62,153,1402,516,0,11,67,5,0,4.7,7.1,25.03,1677,81,102,587,3,33,Capped,0,,,,
Jason Holder,International,West Indies,Fast-All Rounder,1812,138.9,23.84210526,111,117,1305,439,0,4,160,3,0,5.4,8.3,25.72,4115,162,328,1158,9,34,Capped,7,,,,
Fabian Allen,International,West Indies,Spin-All Rounder,1446,147.1,24.50847458,99,91,983,326,0,4,77,4,0,5.3,8.1,25.64,1974,90,132,479,0,30,Capped,0.75,,,,
Sunil Narine,International,West Indies,Spin-All Rounder,1767,166.9,17.4950495,116,186,1059,480,1,7,168,9,0,4.2,6.9,27.17,4565,175,300,1543,3,37,Capped,12,,,,
Matthew Forde,International,West Indies,Fast-All Rounder,299,141.7,15.73684211,18,22,211,80,0,2,51,3,0,5.8,7.8,22.2,1132,53,97,412,1,23,Uncapped,0,,,,
Hayden Walsh Jr.,International,West Indies,Spin-All Rounder,215,128.7,16.53846154,13,8,13,55,0,0,69,3,2,6.3,7.4,19.68,1358,67,75,420,3,33,Capped,0.14,,,,
Kamindu Mendis,International,Sri Lanka,Spin-All Rounder,802,123.4,25.0625,23,73,650,239,0,5,12,2,0,3.2,8.7,44.92,539,23,33,95,0,27,Capped,0.75,,,,
Dushan Hemantha,International,Sri Lanka,Spin-All Rounder,49,119.5,9.8,4,1,41,17,0,0,19,3,0,6.6,6.8,17.11,325,8,29,103,0,31,Capped,0,,,,
Charith Asalanka,International,Sri Lanka,Spin-All Rounder,960,128.7,20.86956522,43,83,746,292,0,5,4,0,0,2.6,7.5,47.75,191,9,16,59,0,28,Capped,0,,,,
Dhananjaya De Silva,International,Sri Lanka,Spin-All Rounder,686,126.1,20.78787879,21,64,544,198,0,3,21,0,0,4.3,7.3,28.14,591,18,46,168,2,34,Capped,0.46,,,,
Chamika Karunaratne,International,Sri Lanka,Fast-All Rounder,451,144.6,30.06666667,19,36,312,106,0,1,21,0,0,4.1,9.8,40.48,850,32,28,170,1,29,Capped,0.5,,,,
Rashid Khan,International,Afghanistan,Spin-All Rounder,585,160.3,13.92857143,41,41,365,141,0,1,157,14,0,4.9,7.1,24.2,3799,158,246,1208,4,27,Capped,18,,,,
Gulbadin Naib,International,Afghanistan,Fast-All Rounder,1195,135.6,27.15909091,59,87,881,296,0,6,49,3,0,4.7,9,32.1,1573,53,125,287,0,34,Capped,0.5,,,,
Mohammad Nabi,International,Afghanistan,Fast-All Rounder,3170,129,23.48148148,165,200,2457,816,0,7,179,8,1,4.3,6.8,26.32,4712,155,235,1390,8,41,Capped,1.5,,,,
Azmatullah Omarzai,International,Afghanistan,Fast-All Rounder,1425,142.6,25.44642857,89,85,999,328,0,3,123,12,0,6.2,8,21.47,2641,102,254,885,6,25,Capped,2.4,,,,
Karim Janat,International,Afghanistan,Fast-All Rounder,1489,142.4,27.57407407,89,118,1046,374,0,7,67,3,0,5.2,7.9,24.94,1671,46,141,396,0,27,Capped,0.75,,,,
Mehidy hasan Miraz,International,Bangladesh,Spin All Rounder,1504,119,19.53246753,61,132,1264,512,0,6,72,5,0,4.4,7.7,29.25,2106,109,157,654,3,28,Capped,0,,,,
Shakib al Hasan,International,Bangladesh,Spin All Rounder,673,124.4,21.70967742,18,63,541,181,0,2,40,0,0,3.5,7.7,36.73,1469,67,97,391,1,38,Capped,0,,,,
Sanjay Krishnamurthi,International,USA,Spin All Rounder,846,138.2,25.63636364,53,53,612,235,0,5,6,1,0,4.3,6.9,26.67,160,7,8,49,0,22,Capped,0.03,,,,
Shubham Ranjane,International,USA,Fast-All Rounder,923,136.9,36.92,36,67,674,185,0,5,12,0,0,6.3,11.1,29.67,356,16,30,43,0,26,Uncapped,0.69,,,,
Corey Anderson,International,USA,Fast-All Rounder,1488,134.2,33.81818182,90,84,1109,299,0,6,16,0,0,6,8.7,24.13,386,10,29,72,0,35,Capped,0.69,,,,
Curtis Campher,International,Ireland,Fast-All Rounder,203,120.1,16.91666667,8,17,169,53,0,0,15,1,0,5.6,8,24.07,361,9,31,87,0,26,Capped,0,,,,
Gareth Delany,International,Ireland,Fast-All Rounder,213,135.7,21.3,10,21,157,65,0,2,7,0,0,5.1,8.7,28.71,201,10,12,43,0,28,Capped,0,,,,
Bas de Leede,International,Netherlands,Fast-All Rounder,833,109.3,30.85185185,24,62,762,299,0,5,38,2,0,6.6,8.3,20.95,796,23,68,206,1,26,Capped,0,,,,
Colin Ackermann,International,Netherlands,Spin All Rounder,2914,128.5,31.67391304,75,251,2268,579,0,19,58,5,0,4.5,7.8,28.64,1661,49,114,367,0,34,Capped,0,,,,
Logan van Beek,International,Netherlands,Fast-All Rounder,965,130.1,21.44444444,41,71,742,261,0,2,148,18,0,5.9,8.4,23.66,3502,113,345,1004,4,35,Capped,0,,,,
Saqib Zulfiqar,International,Netherlands,Spin All Rounder,84,115.1,21,2,4,73,18,0,0,3,0,0,4.2,6.6,26.33,79,2,4,18,0,28,Capped,0,,,,
Synthetic_Player_1,International,Bangladesh,Spin-All Rounder,1340.44,131.67,18.8,64,121,1213,417,0,5,91,6,0,4.54,7.83,26.39,2537,94,172,627,2,30,Capped,0.65,,,,
Synthetic_Player_2,International,Sri Lanka,Spin-All Rounder,832.26,147.4,22.04,31,73,638,238,0,3,27,0,0,4.04,7.7,33.35,954,39,62,228,1,34,Capped,0.03,,,,
Synthetic_Player_3,International,New Zealand,Fast-All Rounder,2017.24,155.89,24.92,114,141,1374,458,0,7,142,13,0,5.85,8.8,25.68,3604,128,313,837,1,32,Capped,0.12,,,,
Synthetic_Player_4,International,England,Fast-All Rounder,928.31,164.75,23.12,51,68,704,207,0,3,78,7,0,5.37,9.44,29.52,2271,76,174,418,0,28,Capped,1.92,,,,
Synthetic_Player_5,International,South Africa,Fast-All Rounder,897.26,130.78,19.7,39,61,679,246,0,2,68,3,0,4.6,8.12,27.4,1925,76,147,482,1,30,Capped,0.63,,,,
Synthetic_Player_6,International,India,Spin-All Rounder,1879.33,179.65,27.85,88,160,1268,446,0,10,13,1,0,2.86,9.04,55.34,527,21,49,151,0,28,Capped,8.08,,,,
Synthetic_Player_7,International,Netherlands,Fast-All Rounder,2269.13,145.28,23.52,114,183,1828,568,0,10,121,7,0,4.89,7.85,26.38,3287,110,213,803,3,34,Capped,0.1,,,,
Synthetic_Player_8,International,Afghanistan,Fast-All Rounder,1021.41,115.63,27.82,50,72,800,281,0,5,48,4,0,5.8,8.07,22.75,1142,39,98,308,1,27,Capped,0.08,,,,
