Player,Runs Scored,Batting Strike Rate,Batting Average,No of Sixes,No of Fours,Balls Faced,Total career dot balls played,No of Centuries Scored,No of Half Centuries Scored,Wickets Taken,3 Wicket Hauls,5 Wicket Hauls,Bowling Strike Rate,Bowling Economy,Bowling Average,Runs Conceded,Sixes Conceded,Fours Conceded,Dot Balls Bowled,Maidens Bowled,Age of the Player,Last Auction Price Sold (in Crs),Category,Country,Role,Capped/Uncapped
Synthetic_Player_1,1340.44,131.67,18.80,64,121,1213,417,0,5,91,6,0,4.54,7.83,26.39,2537,94,172,627,2,30,0.65,International,Bangladesh,Spin-All Rounder,Capped
Synthetic_Player_2,832.26,147.40,22.04,31,73,638,238,0,3,27,0,0,4.04,7.70,33.35,954,39,62,228,1,34,0.03,International,Sri Lanka,Spin-All Rounder,Capped
Synthetic_Player_3,2017.24,155.89,24.92,114,141,1374,458,0,7,142,13,0,5.85,8.80,25.68,3604,128,313,837,1,32,0.12,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_4,928.31,164.75,23.12,51,68,704,207,0,3,78,7,0,5.37,9.44,29.52,2271,76,174,418,0,28,1.92,International,England,Fast-All Rounder,Capped
Synthetic_Player_5,897.26,130.78,19.70,39,61,679,246,0,2,68,3,0,4.60,8.12,27.40,1925,76,147,482,1,30,0.63,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_6,1879.33,179.65,27.85,88,160,1268,446,0,10,13,1,0,2.86,9.04,55.34,527,21,49,151,0,28,8.08,International,India,Spin-All Rounder,Capped
Synthetic_Player_7,2269.13,145.28,23.52,114,183,1828,568,0,10,121,7,0,4.89,7.85,26.38,3287,110,213,803,3,34,0.10,International,Netherlands,Fast-All Rounder,Capped
Synthetic_Player_8,1021.41,115.63,27.82,50,72,800,281,0,5,48,4,0,5.80,8.07,22.75,1142,39,98,308,1,27,0.08,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_9,510.58,129.00,19.23,21,48,401,135,0,2,14,1,0,3.15,9.06,44.49,683,41,43,171,0,28,2.50,Domestic,India,Spin-All Rounder,Uncapped
Synthetic_Player_10,2331.42,139.83,26.21,114,173,1552,536,0,5,135,7,0,3.74,7.15,30.06,4260,192,275,1313,2,34,21.20,International,India,Spin-All Rounder,Capped
Synthetic_Player_11,4034.41,163.23,22.33,217,253,2895,945,0,9,203,12,2,4.39,7.37,32.46,5459,178,295,1383,7,40,4.19,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_12,3221.64,193.09,22.79,190,224,2245,741,0,10,111,5,1,4.37,8.44,32.47,3256,112,203,686,2,37,5.49,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_13,1207.27,152.40,23.97,45,102,898,298,0,3,38,4,0,3.77,8.54,38.52,1282,51,86,280,0,32,3.58,Domestic,India,Spin-All Rounder,Uncapped
Synthetic_Player_14,885.72,140.68,28.50,38,65,710,234,0,2,2,1,0,8.98,8.64,15.81,24,5,18,38,0,27,0.58,International,South Africa,Spin-All Rounder,Uncapped
Synthetic_Player_15,2419.88,159.51,28.44,124,164,1674,555,0,7,209,23,1,5.79,8.40,32.53,5253,205,430,1314,3,34,3.58,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_16,1455.11,148.57,29.39,60,115,1055,339,0,9,31,1,0,4.67,8.74,36.15,828,36,62,192,0,33,2.45,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_17,621.62,168.11,25.80,31,52,449,121,0,1,87,10,1,6.66,9.25,22.78,1991,69,165,403,1,29,1.13,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_18,2761.66,293.55,34.04,128,221,1999,577,0,17,28,1,0,4.61,8.17,27.94,772,36,45,217,0,34,1.30,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_19,829.29,148.07,35.08,37,65,566,173,0,4,22,1,0,4.46,9.36,44.42,651,26,47,176,0,27,17.02,International,India,Fast-All Rounder,Capped
Synthetic_Player_20,201.62,127.99,14.83,19,5,99,51,0,0,42,2,0,4.88,8.89,32.71,1445,65,120,328,2,32,0.95,International,India,Fast-All Rounder,Uncapped
Synthetic_Player_21,1269.26,139.56,18.10,54,119,1141,356,0,3,132,10,0,4.92,7.99,26.95,3695,130,267,897,3,35,4.14,International,India,Spin-All Rounder,Capped
Synthetic_Player_22,714.74,123.58,16.70,33,34,584,200,0,1,83,3,1,4.74,7.72,24.95,2351,96,144,603,2,33,2.09,International,India,Spin-All Rounder,Capped
Synthetic_Player_23,1031.52,176.68,23.24,59,77,788,234,0,3,75,6,0,5.03,9.48,31.31,2229,77,183,416,0,28,3.02,International,England,Fast-All Rounder,Capped
Synthetic_Player_24,488.77,143.79,13.63,18,28,340,117,0,1,126,9,0,5.40,8.87,27.21,3553,136,309,886,3,36,3.04,International,India,Fast-All Rounder,Uncapped
Synthetic_Player_25,952.05,155.36,17.86,48,73,715,254,0,4,156,15,0,5.36,8.35,27.46,4005,153,343,1036,3,35,4.24,International,Netherlands,Fast-All Rounder,Capped
Synthetic_Player_26,911.31,139.81,20.56,47,64,661,246,0,3,68,5,0,5.04,8.67,27.29,1916,71,162,448,1,28,0.03,International,England,Fast-All Rounder,Capped
Synthetic_Player_27,2186.64,141.90,25.18,114,169,1563,528,0,9,81,4,0,4.82,8.51,29.95,2389,91,173,516,1,33,3.52,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_28,368.92,146.90,21.22,8,40,240,88,0,2,10,1,0,4.57,6.54,23.28,124,0,15,18,1,29,0.03,International,Sri Lanka,Spin-All Rounder,Capped
Synthetic_Player_29,1595.09,137.92,32.34,70,121,1128,339,0,9,37,1,0,5.43,9.00,31.16,953,38,79,195,0,34,2.14,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_30,2570.85,187.76,34.13,86,219,1834,564,0,18,26,3,0,4.24,8.15,34.78,723,29,62,263,0,33,0.97,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_31,2096.13,178.62,28.89,97,170,1441,490,1,13,37,1,0,4.82,8.96,32.35,1114,48,71,268,0,35,3.00,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_32,690.25,189.71,26.22,34,51,475,149,0,2,44,4,0,9.69,8.73,17.43,940,31,88,236,1,27,2.61,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_33,441.15,115.12,18.49,17,25,381,131,0,1,52,2,0,4.25,7.78,29.70,1489,66,99,407,1,31,1.36,International,India,Spin-All Rounder,Capped
Synthetic_Player_34,417.28,142.20,15.09,20,29,285,106,0,1,83,7,0,5.34,8.54,24.01,2238,85,209,582,2,29,1.77,International,India,Fast-All Rounder,Uncapped
Synthetic_Player_35,288.41,135.20,17.57,10,19,228,76,0,1,28,1,0,4.52,8.03,30.42,934,47,74,232,1,27,1.74,International,India,Spin-All Rounder,Uncapped
Synthetic_Player_36,1229.87,213.97,35.12,54,95,885,247,0,7,19,1,0,6.03,10.29,29.19,593,21,67,106,0,30,0.58,International,USA,Fast-All Rounder,Uncapped
Synthetic_Player_37,1030.20,142.20,13.89,60,109,1150,341,0,3,150,11,0,4.85,7.57,25.45,3835,138,232,997,5,33,4.84,International,England,Spin-All Rounder,Capped
Synthetic_Player_38,2022.48,129.86,23.55,107,142,1284,401,0,6,183,20,1,6.34,9.24,26.76,4613,155,395,955,1,33,1.24,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_39,585.86,129.63,24.91,27,50,455,154,0,4,18,1,0,5.07,8.92,33.51,592,22,42,149,0,30,2.34,International,Sri Lanka,Spin-All Rounder,Capped
Synthetic_Player_40,2181.45,150.88,22.70,119,159,1697,580,0,6,147,7,0,4.49,7.32,26.98,3973,147,240,1123,5,36,4.88,International,Afghanistan,Spin-All Rounder,Capped
Synthetic_Player_41,2148.35,170.92,21.45,110,181,1671,588,0,8,151,7,0,4.27,7.00,26.42,4022,146,241,1249,5,38,5.72,International,West Indies,Spin-All Rounder,Capped
Synthetic_Player_42,784.89,150.31,16.80,52,72,761,251,0,3,146,15,0,5.50,7.94,23.39,3439,129,280,946,5,31,4.30,International,Netherlands,Fast-All Rounder,Capped
Synthetic_Player_43,1180.91,151.29,24.40,41,99,904,321,0,5,42,1,0,4.12,7.74,32.05,1357,56,85,355,1,35,0.43,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_44,2314.64,191.41,25.67,123,181,1665,510,0,8,102,7,0,5.36,9.20,28.27,2867,98,223,530,0,33,6.22,International,India,Fast-All Rounder,Capped
Synthetic_Player_45,728.06,138.86,25.24,35,54,574,184,0,3,44,3,0,5.01,9.08,32.45,1363,47,106,283,1,28,0.70,International,England,Fast-All Rounder,Capped
Synthetic_Player_46,1089.35,148.66,24.32,43,90,827,270,0,5,26,2,0,3.49,8.78,43.87,960,41,64,202,0,31,3.74,International,India,Spin-All Rounder,Capped
Synthetic_Player_47,2591.68,328.82,23.80,138,197,1864,611,0,11,109,5,0,5.02,9.22,30.28,3088,101,206,567,0,35,0.72,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_48,1548.19,200.99,25.48,93,122,1086,333,0,4,168,21,2,6.28,8.26,28.67,3542,128,312,977,5,28,4.53,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_49,1523.89,134.74,28.79,70,121,1062,355,1,10,46,2,0,5.62,9.00,30.12,1148,52,98,249,1,34,5.43,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_50,660.16,140.07,28.20,33,50,468,163,0,4,20,1,0,5.13,8.78,30.03,551,21,39,134,0,29,2.54,International,England,Spin-All Rounder,Capped
Synthetic_Player_51,831.38,161.33,24.62,41,63,557,210,0,3,49,1,0,6.50,7.58,19.58,1048,37,83,312,2,29,1.16,International,South Africa,Spin-All Rounder,Capped
Synthetic_Player_52,1607.12,165.45,22.81,81,120,1233,410,0,6,105,9,0,5.31,8.37,23.83,2765,100,238,681,2,30,0.48,International,Netherlands,Fast-All Rounder,Capped
Synthetic_Player_53,2212.97,168.66,25.46,99,181,1603,561,0,12,75,4,0,4.23,7.51,27.36,2067,88,134,634,2,33,1.73,International,West Indies,Spin-All Rounder,Capped
